path,size_bytes,sha256,role
figures/paper2_fig1_framework.png,74745,0aedef4f07b0e97e9075c8e27815df601d4f2fab9d4253d04abcfbae054f34cf,figure
figures/paper2_fig2_load_curve.png,38576,2d759651623d7c86fb23aeedc03255ea0e5fce9eedfca39160a508337f98378f,figure
figures/paper2_fig3_load_rmse.png,38544,7094df5aa1f09bcaf1b5219fe8f3e74bdee4cc30f9529f1e8502998204bbdd55,figure
figures/paper2_fig4_uci_transfer_rmse.png,71060,d4fb7731e9ac81bd2459f91cd04dd76e0883e62ac7cfd36c8f223e03fa87093a,figure
figures/paper2_fig5_uci_ssl_prototype_rmse.png,100907,da005a2b7023fabd8204c9014968aa4f6c3b8d750128bb6c5b3e81580c634a9e,figure
figures/paper2_fig6_uci_cold_start_curve.png,70142,f21c6337939eba1aaaf2f0de1349ac895ef8facc45e7dd1b87ddf6d95abe8d75,figure
figures/paper2_fig7_uci_domain_shift_diagnostic.png,54747,8efc3afb40c458ff80f9bb24304085b11e34b720bdc8b3d148a7e0d21291b991,figure
figures/paper2_fig8_uci_client_level_stat_tests.png,65444,ae61feb2df7fa5c1c6ef2f43c4d758f7dbdad4246455307e1d9dd61f544c71bd,figure
figures/paper2_fig9_uci_random_conv_encoder_comparison.png,88316,9448e7e8e87ae3a46ba3fe861805203d3ab44c3d6d69dde3edade3ac63c7e888,figure
manuscript/ieee_access/paper_2_ieee_access_data_code_availability_pack.docx,40398,8ef0abe2e571d8216ee6b9a9c7a894b09fc93cb1f9d00abdda77210b3eec7924,manuscript
manuscript/ieee_access/paper_2_ieee_access_data_code_availability_pack.md,12568,aec64bd317b319fa8549d2607a71d8b7aff886deabd6a8c9a49a00712670301c,manuscript
manuscript/ieee_access/paper_2_ieee_access_manuscript_candidate.docx,1098638,2be50721eeb4eb048ed08d32f352924fc1e85ee44822353743b4c27b75c1c2b4,manuscript
manuscript/ieee_access/paper_2_ieee_access_manuscript_candidate.md,66921,f824da9a74f0e0c2df742d364510aaca47e98fb5de2f6eb017229994ef306a79,manuscript
manuscript/main/paper_2_transferable_load_forecasting.docx,890356,25f2831e8336ef33bf673fe51ebd22e3ae2a19fe03303a4fb5b94486d12875b6,manuscript
manuscript/main/paper_2_transferable_load_forecasting.md,58830,28281776352d9c429d891a20a1c55019dc681e6fa2c07ede18bcafdf32c99995,manuscript
manuscript/submission_candidate/paper_2_transferable_load_forecasting.docx,890374,d8503e4f16d8efb9bce309062fd126bd4782799d3603414e24645f30309dc68a,manuscript
manuscript/submission_candidate/paper_2_transferable_load_forecasting.md,58830,28281776352d9c429d891a20a1c55019dc681e6fa2c07ede18bcafdf32c99995,manuscript
references/paper2_verified_reference_block.md,8881,e54301cf12e47d041346348a299a3d3d485c6332f527d2275f6f1e939c47bfd5,reference
references/paper2_verified_reference_register.csv,6937,f7237d9e006eecce5d2c0239c242fe1b87f749bcaa589f341ffedc8535a8e22d,reference
references/paper2_verified_reference_register.md,3315,75ec96fa00a11c919425ba8d91a3ce0287375efebda853d0c330f9d8155736e9,reference
references/paper2_verified_references.bib,13683,97e5f31940066db2aee1410b73a6dafa068f2e38a31963a7dee8743f4fcd1e77,reference
requirements-paper2.txt,32,c8b6ba788a084a915945fcd734e910670b45c560c25e927997d0ca7b50ae3a73,documentation
results/opsd_public_baselines.csv,3221,1d67da1108dbcbcefac769d112c237bae2ab9515ca20735dfe5af70d46b776ee,result
results/opsd_public_dataset_stats.csv,585,e470ba855d0559c82370b9d414edf88bec0927d41066bcc5cdfa2421787ac08c,result
results/uci_appliances_energy_baselines.csv,621,a902236e8b4dffd6b6df2aa7b0f832e26ea10756ec00ca1aec5f734fe826559c,result
results/uci_appliances_energy_dataset_stats.csv,337,8be24973d777d05ab68aef0fbcd37a3a530d6d5adb43943b906b244b15e06dac,result
results/uci_appliances_energy_multihorizon_robustness.csv,2475,f00c906d74ced511eed8a843588f2cf228002ecb291ab95536ced829c115b00c,result
results/uci_appliances_energy_multihorizon_summary.csv,793,f24cb80d45da174131ff2ed007f48655929afea7a1d3e2de0d9ebfea3107d0a7,result
results/uci_combined_load_transfer_and_ssl_summary.csv,2217,5f82c4f55996b6ca792cc5ec7cb05475410c64d1790b56fb090c315ead5a6485,result
results/uci_load_client_selection_stats.csv,42543,47ee9386667b4ec4a29ef1610546e6f2bc2b9bfc8bf0464f36d40acf9b2da9af,result
results/uci_load_dataset_stats.csv,4941,281afe879188e101ece84e7fffc2c40c98692ef43ba22a9f249286c49e804acf,result
results/uci_load_transfer_baselines.csv,10133,55381f06ef8f737227863ebe4dd2342fd0cf9c310f128aab936a051aaf5af3db,result
results/uci_load_transfer_summary.csv,773,5a73e4b17fbfa2bdce5461c8baa158977f7416493c0e5b6a1798d7f901dbe15d,result
results/uci_neural_tdconv_residual_client_level_tests.csv,979,66f45c3eebfabe74c8efa8a004dc5ff553cc8c587154af28cd1d4d001dce6acd,result
results/uci_neural_tdconv_residual_results.csv,6381,370ddecaaff1142c3cf03d9ed45dedde5c5d46bf94637977491b957dd978810e,result
results/uci_neural_tdconv_residual_summary.csv,597,b9f60d1ac10eb93e6454635fc8ffb8cfbcbf372274b95efc5c312b572e3ab9f8,result
results/uci_neural_tdconv_residual_training_diagnostics.csv,3695,c4edf2191663108b7ccc4ca7b4b9793b8dfbed14aa73aa4069cc65bd4f895edc,result
results/uci_patch_attention_transfer_client_level_tests.csv,1007,273e6fb726e47c7d13c00cc693782299c4bb74c2c48e05ba701ab20f189eccf2,result
results/uci_patch_attention_transfer_results.csv,9909,dd22c4f7704bc793e38bc5c06f84d09a3048980da6e04dadc03c838398d8f650,result
results/uci_patch_attention_transfer_summary.csv,847,f51e73855d69bc7436869cccdba70eb5b1e9a115026c0c0e0045036e9487d431,result
results/uci_random_conv_client_level_tests.csv,884,a0f29d3bd23ca41b9c5e6061b7ab9a06693fddbeb5d50dc107470a2281efbbbf,result
results/uci_random_conv_representation_results.csv,18131,337d9d9fc7837cfa6ee61ec4f1d4326acc3a4baeaddb8782a3857757cadf2445,result
results/uci_random_conv_representation_summary.csv,1409,54cbfaec2e1a9e672e9dfaafc35c02290e82e722ea519081dc252fca6953603d,result
results/uci_source_mlp_transfer_client_level_tests.csv,1120,2ece6d16d7065c46a45d56ffffa0aea0340c8be5d265cd597c634bb5426951a5,result
results/uci_source_mlp_transfer_results.csv,14879,1ce7935c0b0589bcde8055bd1db16aed23b410faab8aedb3e2cdcf15dd4389bb,result
results/uci_source_mlp_transfer_summary.csv,1283,c7a0ffa00bbde3031e53bdafe3d7f14f9538dff967a50a5e0014330863d9af32,result
results/uci_source_mlp_transfer_training_diagnostics.csv,1920,14f0b7e7dcc1d2243ad83450dfad9c19313375881774655604c0733074e1cfaa,result
results/uci_ssl_client_level_rmse_deltas.csv,14125,4cbebc368bc0142d6b4b47f537854269081ed0f469bba21f26e9191f1feabc73,result
results/uci_ssl_client_level_stat_tests.csv,2028,4b228cafafc7450622765158ce38eb15c903c066917db07c7770b92dce67271d,result
results/uci_ssl_cold_start_results.csv,18043,be63374de6bf877bb88715b4b4e13db0af3b29bdca020a9d89ff18501affe6bf,result
results/uci_ssl_cold_start_summary.csv,1406,611252b556895bb17e7c95883fbc8d4405169300be39e3145e11f8675b9ab525,result
results/uci_ssl_domain_shift_diagnostics.csv,1544,937538795f2c404e3195df7ef004e23c645797281d57a64f119df17448df07bf,result
results/uci_ssl_domain_shift_summary.csv,276,d064c3421dd69dcb4c1d48ea2ec36fd9c8ac941ee49e823249997604f2e14849,result
results/uci_ssl_pretraining_diagnostics.csv,206,de98cf3c281e8c71a70e1ff52e8ea1806af7a37e6b772359eccecd64fb3fc32b,result
results/uci_ssl_representation_results.csv,16858,d53f81c7f89524f1df987f7f04d87fc98105c2b75dc4939b15540d41932210e4,result
results/uci_ssl_representation_summary.csv,1320,7cf7b257acc961a559d274ab8b478797d6fee36a97866cd184f7d8c66ca9f6e6,result
results/uci_tdconv_multiseed_stability_by_seed.csv,2526,5bb661ef52c4a969d6d0703838fecae85e74face545a585caf7bc0074404e0a8,result
results/uci_tdconv_multiseed_stability_results.csv,31438,b663774447395c894d74562cb92e6ca9c878930801a527200ccd54b38a2d0fab,result
results/uci_tdconv_multiseed_stability_summary.csv,656,7aaaefe16a72d2857e8d9f57285d5a4d085a012c20103202ac9542e797a957f5,result
results/uci_tdconv_multiseed_stability_tests.csv,2442,6ec5ca5f091a9b7b93ccc24d3ea10875f8c67f8802038f49c316b49633dcb763,result
results/uci_trainable_tdconv_baseline_results.csv,12296,3152cbabb5a12052544fb014f04bca8142b6493287089816822849aa21ffd55b,result
results/uci_trainable_tdconv_baseline_summary.csv,997,8def9b3926bf625ad95392dfe75bbd3f0dc85b98c387d887a6b9cd5e26a67f43,result
results/uci_trainable_tdconv_client_level_tests.csv,924,7b0c2d62a7ad4e81d15d2dc69ed1f6cc2f662a1634cedc77237e057f7b9f56bb,result
scripts/build_paper2_ieee_access_submission_pack.py,56710,df18b782e936be2427d936aa27d3e1c744effc5fda5fb25e4ba1f2a187bd1a52,script
scripts/build_paper2_reference_assets.py,17190,d94f290afe7a384a1bbb14eb016fb2160f69e5e507201a4ee39402d8c1f63f9f,script
scripts/build_paper_package.py,56871,bc1e0eda3df6d02c4e689d87f4f3feaa2b6e78aa6541746eacad4ef96137fbe7,script
scripts/create_submission_candidate_manuscripts.py,14166,4a182226bb501b3c1f2bf9cc217d176143dde445ada69886cc755a635170f616,script
scripts/integrate_uci_appliances_results.py,16850,0022512b30df214f0003b47641348b22698b8c81f523260dfb62c80f31d93e52,script
scripts/integrate_uci_client_stat_tests.py,6208,4eaa138b23f3a893b7757c39c879e49f9992f4ef92a88fd46b8b8a74a1ae60f6,script
scripts/integrate_uci_load_transfer_results.py,26905,cdc52d8224252f47702e44d018c6b75002554971ac2b86fdd4c3ca1b4e14bcde,script
scripts/integrate_uci_neural_tdconv_residual_results.py,13547,65018fa1d2649f2eac2c0bc4c24e086221e63774cac30ef334a2957130ff8a81,script
scripts/integrate_uci_random_conv_results.py,7221,a67e6a26f0acc26b0d0fd5a1cf64b28bd4dae0893b20e4cb846159712aafca0d,script
scripts/integrate_uci_trainable_tdconv_results.py,9453,fa32674a295e9e4db0b22ff221832b07e2f23a9fc11836409ce23e91d746550d,script
scripts/public_data_download_templates.py,4342,0a204d542534926a0971a175ea2f1ebf0908463c3924d6ce171e532651b45ae2,script
scripts/run_public_opsd_baselines.py,9873,e544074b0029da9cf3769a2d39ac47bc2289c3da262858a7d03d96eae4ec1ec2,script
scripts/run_uci_appliances_energy_baselines.py,10528,63289c291430fa30ac04ec938cf905b59dbe0f9aa46ed12c391a6e2c77f3a6ce,script
scripts/run_uci_appliances_multihorizon_robustness.py,8872,6d9974094ff1ce80153cd25b9be296cd33615e586a8f44d54ce45a91ed7dd7fd,script
scripts/run_uci_client_statistical_tests.py,9536,92838670e034d78c069343e4e11284703b9499b05816f1dc976f4ecb9a9707db,script
scripts/run_uci_load_transfer_baselines.py,13077,031a5bcb5a9ec077b9335ba196407b9bfc6f653b411676156194356d85ff4f1e,script
scripts/run_uci_neural_tdconv_residual_check.py,16087,c01bdd79a3d7cc9055cb1bbfa017ea7193fad662a1f02659980e6cf017e00124,script
scripts/run_uci_patch_attention_transfer_baseline.py,14975,72fea9ddf5c5ce0fdb46c4dfc7096d6ebbb400ac14d1b8fbe6de932bb143f11a,script
scripts/run_uci_random_conv_representation.py,14914,67cd48965204f43f75e92a8af0f1479af1baafc74fbfb7907efd805e6ba07887,script
scripts/run_uci_source_mlp_transfer_baseline.py,19157,0cdd9ee1838da5a5f8f6324d86e4141c714a65120658946a45b2b905901e4a5b,script
scripts/run_uci_ssl_cold_start_diagnostics.py,15097,acd5cedb15c1bc99319e3bdef0250ebf0b6b26da7dbb64e322fe9329dcf6a25f,script
scripts/run_uci_ssl_representation_prototype.py,15055,977846f3333ab78eb013f13debcb0ee292d81160dca9567391ffa98edc978895,script
scripts/run_uci_tdconv_multiseed_stability.py,13624,30381949eb67950b38db2ed16370971ff3742d413c29dfa16fc6188d1dd00c8c,script
scripts/run_uci_trainable_tdconv_baseline.py,14600,9c096c0feee12733f18b7a79e3d126f68b9295f04de2f43ed9d4a8b0533550d4,script
scripts/verify_paper2_supplement_package.py,28015,fa3cf1cf7d3565e374d0e6c9ad1530945858e678877f7086cbc56033b485cf27,script
